"Fishbase_name","Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group","highlight"
"Maurolicus_muelleri","Stomiiformes","Sternoptychidae",1.54120469068326,0.930949031167523,0.60959440922522,0.83695673705955,0.726727209026572,0.403120521175818,0.481442628502305,0.0128372247051722,-0.2518119729938,"Deep-sea",FALSE
"Maurolicus_weitzmani","Stomiiformes","Sternoptychidae",1.69196510276736,1.11892575282578,0.638489256954637,0.966141732739033,0.942008053022313,0.491361693834273,0.628388930050311,0.204119982655925,0.161368002234975,"Deep-sea",FALSE
"Melanocetus_johnsonii","Lophiiformes","Melanocetidae",1.93966898352233,1.71591981743358,1.44762309776029,1.69783936821836,1.54294984881418,1.27276958655176,1.10991586302379,0.537819095073274,1.70009770461305,"Deep-sea",TRUE
"Melanocetus_murrayi","Lophiiformes","Melanocetidae",1.80407124888566,1.75227898546012,1.45178643552429,1.64777405026883,1.52530400995824,1.16672605558005,1.09447112864164,0.181843587944773,1.57749179983723,"Deep-sea",FALSE
"Melanostomias_margaritifer","Stomiiformes","Stomiidae",2.08504070674219,1.10482840365366,0.716003343634799,0.954242509439325,1.19395897801919,0.571708831808688,0.501059262217751,0.0791812460476248,0.514547752660286,"Deep-sea",TRUE
"Microthrissa_congica","Clupeiformes","Clupeidae",1.64943222324162,1.00518051250378,0.741151598851785,0.785329835010767,0.631443769013172,0.367355921026019,0.613841821876069,-0.0604807473813815,-0.00877392430750515,"Surface",FALSE
"Microthrissa_royauxi","Clupeiformes","Clupeidae",1.59571661994342,1.03302144468291,0.750508394851346,0.781036938621132,0.606381365110605,0.392696953259666,0.635483746814912,-0.1249387366083,0.00860017176191757,"Surface",FALSE
"Nematalosa_erebi","Clupeiformes","Clupeidae",2.25527250510331,1.84960365808245,1.35602585719312,1.4679039465228,1.26007138798507,0.84323277809801,1.31238894937059,0.514547752660286,1.99078269180314,"Surface",FALSE
"Nematalosa_japonica","Clupeiformes","Clupeidae",2.13719581194055,1.74154551677621,1.35679046035172,1.37383114507383,1.06595298031387,0.8055008581584,1.19562294358694,0.59659709562646,1.83803008298532,"Surface",FALSE
"Nematalosa_nasus","Clupeiformes","Clupeidae",2.29464255360287,1.92906112408477,1.42275394130135,1.52387647563813,1.24575935596728,0.911690158753861,1.37217528611506,0.727541257028556,2.22107501661172,"Surface",FALSE
"Neonesthes_capensis","Stomiiformes","Stomiidae",2.14684093403507,1.33785842904109,1.08278537031645,1.22968184231768,1.36791473879375,0.90687353472207,0.808210972924222,0.136720567156407,1.1152775913959,"Deep-sea",FALSE
"Odontostomias_micropogon","Stomiiformes","Stomiidae",2.38178271263519,1.42373724998233,1.26623169668989,1.23451728351269,1.36116099519503,1.23146959043068,0.690196080028514,0.33645973384853,1.68583127462606,"Deep-sea",FALSE
"Ogcocephalus_nasutus","Lophiiformes","Ogcocephalidae",2.18324136442237,1.52955867302116,1.98091193777684,1.52452593662638,1.25358028956218,1.40191725051757,1.11058971029925,0.86391737695786,2.11159852488039,"Deep-sea",FALSE
"Ogcocephalus_parvus","Lophiiformes","Ogcocephalidae",2.18695633546541,1.50242711998443,1.96614173273903,1.48713837547719,1.21748394421391,1.35793484700045,1.04921802267018,1.06818586174616,2.02118929906994,"Deep-sea",FALSE
"Ogcocephalus_radiatus","Lophiiformes","Ogcocephalidae",2.17283636012271,1.50650503240487,1.93008263339237,1.49485002168009,1.27531135454181,1.38969754820639,1.11958577496178,0.804820678721162,2.07725886369295,"Deep-sea",FALSE
"Ogcocephalus_vespertilio","Lophiiformes","Ogcocephalidae",2.30636068286105,1.67751570479876,2.05292468370773,1.61140463771159,1.38506977633193,1.50609895992844,1.21984638602436,0.981818607170664,2.53100604511435,"Deep-sea",FALSE
"Oneirodes_acanthias","Lophiiformes","Oneirodidae",1.98457231562163,1.79851253303135,1.63838940766534,1.6742179455767,1.51134851549021,1.62531245096167,1.11925588927794,0.76715586608218,2.03742649794062,"Deep-sea",FALSE
"Oneirodes_luetkeni","Lophiiformes","Oneirodidae",1.93033763573773,1.76618969331016,1.40619942366331,1.69957759139891,1.58714949825434,1.32837960343874,1.14019367857863,0.582063362911709,1.71349054309394,"Deep-sea",FALSE
"Opisthonema_libertate","Clupeiformes","Clupeidae",2.18926566893455,1.71466499286254,1.3647385550554,1.43264866001311,1.29776051109913,0.730782275666389,1.14270224573762,0.499687082618404,1.87966920563205,"Surface",FALSE
"Opisthonema_medirastre","Clupeiformes","Clupeidae",1.63245729218472,1.11991541025799,0.699837725867246,0.92531209149965,0.681241237375587,0.328379603438738,0.653212513775344,-0.167491087293764,-0.0861861476162833,"Surface",FALSE
"Opisthonema_oglinum","Clupeiformes","Clupeidae",2.21184109637534,1.76477371691104,1.32960124835652,1.49899936358015,1.24944296144258,0.671172842715083,1.19200959265367,0.598790506763115,1.89746213801306,"Surface",FALSE
