"Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group"
"Perciformes","Scombridae",331.5,72.8,31.6,36.7,45.15,15.2,12.65,8.45,458,"Surface"
"Perciformes","Scombridae",601,106.53,59.13,59.17,82.33,29.27,20.27,16.5,1672.67,"Surface"
"Perciformes","Scombridae",558.19,100.1,51.05,52.95,73.98,30.77,20.62,18.09,1201,"Surface"
"Perciformes","Scombridae",433.33,59,25.8,39.52,50.83,17.69,14.42,14.27,255,"Surface"
"Perciformes","Scombridae",465,108.25,50.7,49.55,53.7,25.85,22.05,19.4,960,"Surface"
"Perciformes","Scombridae",454,116.05,55.35,55.66,58.97,27.48,23.26,22.56,1283.5,"Surface"
"Perciformes","Scombridae",394.5,82.35,39.95,41.69,52.6,19.79,17.63,19.74,605,"Surface"
"Perciformes","Scombridae",505.67,116.57,49.97,53.64,56.05,24.94,24.32,20.42,1250.33,"Surface"
"Perciformes","Scombridae",456,94.7,52.2,44.96,60.55,18.81,15.96,19.29,907,"Surface"
"Perciformes","Scombridae",395,80.95,44.85,44.01,52.9,20.04,16.44,17.77,615,"Surface"
"Perciformes","Scombridae",480.5,88.1,39.6,47.23,61.11,25.43,17.69,14.82,787.67,"Surface"
"Perciformes","Scombridae",654,141.9,74.6,73.14,105.13,42.65,25.53,31.82,3449,"Surface"
"Stomiiformes","Gonostomatidae",134.23,18.73,11.1,14.8,29.97,8.13,5.9,2.17,9.5,"Deep-sea"
"Stomiiformes","Gonostomatidae",121.33,17.6,5.77,9.3,23.57,3.43,4.77,1.2,2.83,"Deep-sea"
"Stomiiformes","Gonostomatidae",104.07,11.03,4.93,7.37,18.07,3.9,2.63,1.37,2.86,"Deep-sea"
"Clupeiformes","Clupeidae",104.84,20.11,11.8,12.16,9.98,2.19,7.16,1.57,26.72,"Surface"
"Clupeiformes","Clupeidae",54.81,7.69,5.2,5.47,5.9,0.9,3.28,0.73,1.51,"Surface"
"Clupeiformes","Clupeidae",79.23,11.3,7.83,9.23,10.1,2.23,4.93,0.9,6.6,"Surface"
"Clupeiformes","Clupeidae",151.85,40.84,17.27,21.91,20.2,4.84,13.95,3.79,95.87,"Surface"
"Stomiiformes","Sternoptychidae",36.23,35.51,8.62,22.24,9.02,6.56,5.68,1.27,3.34,"Deep-sea"
"Stomiiformes","Sternoptychidae",45.57,38.3,9,29.93,11.8,7.5,6.73,1.47,4.97,"Deep-sea"
"Clupeiformes","Clupeidae",72.23,12.3,6.8,8.53,9.33,1.9,5.07,1.03,3.5,"Surface"
"Stomiiformes","Stomiidae",133.47,12.44,7.05,9.11,15.16,4.2,2.46,0.81,6.08,"Deep-sea"
"Stomiiformes","Stomiidae",229.96,26.9,13.37,17.77,32.67,7.63,12.17,3.8,33.72,"Deep-sea"
"Stomiiformes","Stomiidae",231.28,18.2,12.57,15.93,26.9,8.9,11.5,4,32.09,"Deep-sea"
"Stomiiformes","Stomiidae",210.1,13.8,8.34,14.03,20.68,7.55,4.67,1.43,15.16,"Deep-sea"
"Stomiiformes","Stomiidae",245.02,17.64,12.29,13.73,25.06,8.96,4.59,1.47,23.72,"Deep-sea"
"Lophiiformes","Antennariidae",46.23,19.63,15.63,15.68,10.92,8.28,5.08,2.03,7.5,"Deep-sea"
"Clupeiformes","Clupeidae",172.92,58.31,21.08,27.5,26.83,5.96,16.53,3.68,109.2,"Surface"
"Clupeiformes","Clupeidae",132.23,48.77,14.13,23.08,16.97,5.17,12.83,3.93,39.47,"Surface"
"Lophiiformes","Tetrabrachiidae",45.5,16.8,14.69,12,7.05,5.5,6.32,1.32,7.3,"Deep-sea"
"Perciformes","Scombridae",531.21,150.67,99.6,89.52,72.93,38.61,13.38,17.6,3174.5,"Surface"
"Perciformes","Scombridae",521.75,150.75,104.88,92.34,74.4,44.12,13.86,18.13,3102.75,"Surface"
"Perciformes","Scombridae",563.5,184.55,122.53,110.21,84.71,50.25,15.06,19.21,5239,"Surface"
"Perciformes","Scombridae",439,137.65,86.3,78.2,66.7,30.05,12.15,15.2,2359.25,"Surface"
"Perciformes","Scombridae",610.67,150.57,103.53,88.7,76,37.33,15.13,15.03,3688.67,"Surface"
"Stomiiformes","Stomiidae",160.33,14.33,7.7,11.8,14.13,5.77,3.37,1.17,8.83,"Deep-sea"
"Stomiiformes","Stomiidae",179.81,29.3,16,17.6,34.8,15.1,6,2.5,46.35,"Deep-sea"
"Stomiiformes","Gonostomatidae",158.87,19.7,7.17,14.33,22.7,6.14,2.58,0.77,6.94,"Deep-sea"
"Stomiiformes","Phosichthyidae",239.42,33.4,16.63,23.6,45.63,10.2,18.6,3.3,52.97,"Deep-sea"
"Lophiiformes","Ogcocephalidae",72.3,13.27,42.87,13.3,6.83,9.33,4.43,3.4,10.5,"Deep-sea"
